urhobo,english
Abe,A species of water yam with red
"colored leaves and tuber
Abe",Guilty verdict
Abo,Wrestling. Also means
Abo,HANDS - plural form
Abotu,Group effort
Abamwa,Rag ; torn piece of cloth
Ada,Outing ; out from home : Kpẹ ada = gone
Adja,Bat
Adja,Hand-held fan usually made from animal skin
Afiotọ,Giant
Afiotọ,African rabbit
Afọrhe,Brain
Afọrhe,Bridge
Agbara,Chair
Agbara,King fisher
Agbogu,Dagger
Agboro,Radio ; echo
Agbotọ,Jaw
Agbotọ,Matches
Aghwaghwa,"Bush dog ( a nocturnal, tree climbing animal )"
Aghwoghwo,Announcement
Agogo,Bell ; Gong
Aha !,A shout of surprise
Ahe,Night owl
Ahwa,A beaked non climbing giant squirrel
Aka,Edo people from southern
Aka,Nigeria
Áká,Bitter kola
Akaunọrọ,Lizard
Ako,Tooth
Ako,Cutlass sheath.
Akpãkpa,Mat woven out of palm branch back
Akpakpasimagha,Scorpion
Akpanurhe,Local
Akpanurhe,Low seat
Akpẹ,Padlock ; Bird’s gizzard ; container of items
Akpẹrẹ,Basket
Akpẹtẹ,Chief cook ; cook
Akpine,Lead singer
Akpọ,World ; earth ; life
Akpono,Plastic beads for female fashion.
Ame,Water
Ame,Palm oil soup
Amirika,Ethanol ; drinkable alcohol .
Anama,Show off ; stylish ; proud
Anurhoro,Entrance to a house or room ; doorway
Apata,Unauthorized release of someone else’s
Aphia,Knife. ( also called
Aphia,Avwia )
Aphopho,Breeze
Aranto,Small ant hill with a hat-like top cover.
Are,Razor blade ( also known as
Are,Erakivẹ̣̣ )
Areba,A poisonous wild garden egg plant .
Arhare,Forehead
Arhọghọ,Contribution
Arirhiri,Tortoise; name indicative of its crafty behavior.
Ariri,Fish net
Arodọvwẹ,Pity ; Mercy
Aruvwẹ,Dawn ; daylight period.
Asa,Place
Asa,Multiplied by .
Asé,Non guilty verdict ; Acquittal
Aso,Night
Aso,Pre- destination
Atẹtẹ,A seller/hawker’s ware display platform
Ato,Desert
Ató,Chewing stick.
Avwebọ,Favorite person
Avwro,Argument ; Expression of a second opinion.
Awanre,Ancient
Azagba,Presence of everyone; un- hidden ; Father
Bẹnẹ,Romance
Bẹre,Tear
Bẹre,Lament in despair
Bẹsiẹye,Until then ; Until that time
Bio,Push
Bio,Please ; I beg you
Bioma,Excuse me ; get out of my way
Bitoboyi,Dress there ;Excuse me ; move there
Bra,Bad
Bra,Very bad
Branama,Display style ; Proud ; Show off.
Brẹdẹ,Make an appointment date.
Brigho,How much is the price tag ?
Brisẹ,Add a “Proverb” ; Clarify with a proverb.
Bro,Cut it.
Bró,How many ?
Broma,Hurry up ; Walk fast.
Bruche,Advise
Brudu,Worry
Brudu,Many ; Plenty ; a lot.
"C H
Chá",Support ; Add to it ; augment.
Cha,Coming e.g. Mẽ cha = I am coming.
Chere,Cook
Chere,Endure
Cho,Steal
Cho,Avenge a long time grudge.
Choma,Be prepared ; Get ready.
Chuji,Steal
Chuji,Help ; Lend a hand ; Support.
Churo,Tie it
"D
Da",Drink
"D
Da",Drink water
Dedé,Welcome him/her.
Davwe,Try ; Test
Dẹ,Buy
Dẹ,Warm up around fire.
Diguẹ,Greet with knees down or bent .
Divwi,Sink ; Dive ;(divwi ame = dive into water ).
Do,Greeting ; An elder greeting his junior.
D’udi,Drink liquor ( da udi ).
"DJ
Dja",Spicy ; Pepper-like taste ; Very hot and spicy ; Very
"hot painful feeling
Djẹ",Run
"hot painful feeling
Djẹ",Run a race
"E
Ebo",Local woven package bag
Ebri,Darkness
Ebruba,Blessing
Edi,Palm tree fruit
Edja,Helminths ; Parasitic worms
Edje,Mates ; Equals
Edjere,Crocodile
Efe,Riches
Efi,Palm tree climbing rope
Efia,Lie
Efia,Bullets
Eghwa,.Load
Eghwa,Chameleon
Egedege,Multiple floor building
Eha,Play
Eha,Fashion
Eho,Fine ; Consequence of a guilty verdict.
Ehuhu,Armadillo ; Pangolin
Eka,Curse
Eka,Breakable
Eka,Plate
Eki,Market
Ekogho,Area ; Neighborhood
Ekpẹ,Soil ; Sand
Ekpeti,Box
Ekpeti,Pocket
Ekrirhe,Bundle of firewood
Ekrirhekrẹbe,Silk
Ekrirhekrẹbe,Worm
Ekru,Bundle
Ékru,Family
Émámọ,Fruit
Émámọ,A good one
Emeravwe,Moon ; Month
Emu,Food
Emu,Pineaple
Eni,Elephant
Ení,Protective bunch of clothes
Enu,Up
Enu,Oracle
Ephẹ,Urine
Ephẹ,Language
Eravwe,Animal
Erere,Profit
Erhare,Fire
Erhare,Butterfly
Erhie,Grains of paradise ; Alligator pepper
Erhivwi,Millipede
Erhuẹ,Cow
Erhuẹ,Garbage dump
Erhuru,Shore ; Beach ; River’s edge
Erhuvwu,Beauty
Eri,Fish .. Grey hair
Eshẹ,Rash ; skin complaint
Eshe,The
Eshe,Fall of…… ; Fall
Eshu,Devil
Eshu,Pumpkin
Evu,Stomach ; Belly
"F
Fa",Flog . Kick ( e.g. Ball )
Fa,.Reveal (e.g. Cause ) ; Expose
Faro,Intolerant ; Hash
Frae,Light weight
Fe,Get rich (efe = riches )
Fẹnẹ,Discriminate ; Different from.
Fẹrẹ,Flip ; Flip it
Fia,Cut off with a single strike
Fia,Change; Reduce to smaller
Fiabọ,Empty handed
Fiẹ,Leak (e.g. Uko fiẹ= Cup leaks)
Fiọ,Sneeze it out
Fiọfiọ,Leak and suck
Fiunu,Hiss
Fiunu,Confess one’s misdeeds
Foma,Payment of travel fare
Fọ,Wait
Fọ,Wash ( e.g. wash
Fọ,Cloth)
Fro,Snatch it
Fronẹ,Race off; Run away
Fru,Snatch
Fuafo,White
Fuafo,Stop it
Fuefu,Gentle
Fuẹrẹ,Scrutinize ;Carefully examine ; research
Furhie,Quench ; put out fire
Ga,Serve ; Worship
Gaga,Strong ; Hard
Gẹrẹ,Slant it ; Bent
Geri,Vomit
Geri,Very big ; ( adj. showing size.)
Gò,Gloat ; Boast
Godogodo,Seldom
Gogo,Publish ; Display
Gogorogo,Very tall ; Very huge
Goma,Strong
Grogro,Tall
Grogro,Make a statement
Gua,Drive
Gua,Frighten
Gugunu,Not straight
Gugurugu,Huge amount
"GB
Gba",Tie
"GB
Gba",Correct
Gbeha,Dance
Gbeha,Dirty ( also
Gbeha,Gbe )
Gbesia,Tell fables
Gbẹ,Clear weeds ; un-weed with cutlass
Gbẹkẹ,….Full to the brim ; a lot (e.g.) of food
Gbiẹyi,Dead silent
Gbiku,Tell story
Gbo,Smell
Gbo,Search for rummages ; Looking around
"trees for their fallen edible fruits
Gbogbo",Rotten
Gboma,Dance joyfully
Gbraka,Big and robust
Gbrẹrẹ,Medium size ; average shape
Gbunie,Rolling on the floor ; Sign of
Gbunu,Fasting ; Abstinence from food
"GH
Gha",Forbid
Gha,Open up e.g.( Umbrella or eye
"glass)
Ghare",Divide
Ghare,Expensive
Ghẹrẹ,Nurture a child ; Up bringing ; Nourish
Gho,Hoot him/her
Ghoro,Roam ; Moving around without
Ghọ,Presenting kola nut and money
Ghọghọ,Rejoice
"GHW
Ghwa",Carry
"GHW
Ghwa",Gift for good performance e.g. dancing
Ghwie,Uproot
Ghwo,Old ; Ripe
Ghwoghwo,Announce
Ghworo,Rub .. Un-sanitary ; Filthy
Ghwu,Die
Ghwu,Lost ; Cannot find
"H
Harhọ",Blame him/her
Hẹrhẹ,Wait
Hẹrhẹ,Detour ; Return
Họrhọ,Boil
Họrhọ,Scatter ; undo the orderliness
Hrahrọ,Apply evenly ; Spread equally
Hrohro,Scratch out the last remnant
Hwa,Pay
Hwa,Narrow
Hwe,Beat ; Punish ; pummel
Hwẹ,Laugh
Hwẹ,Make a bed
Hwehwẹ,Laugh
Hwehwẹ,Very dark ; More than black
Ibaba,Father
Ibẹfi,Hunting
Ibehre,Mud
Ibehre,Charcoal
Ibivu,Intestine
Ichabọ,Assistant
Ídjédje,Explanation
Idjerhe,Road
Idjerhe,Vegetable ; Water leaf
Igberadja,Prostitute
Igede,Drum
Igede,Handcuff
Igbigbi,Pretence ; Faking
Igbunu,Miracle
Ikọhọ,Egg
Ikọhọ,Platform over the fireplace
Iku,Crawfish
Ine,Song
Ine,Mother
Iporoma,Sword
Iporoma,Button
Irho,Dew
Irho,Thought ; To think
Isa,Ring
Isa,Proverb
Isha,Beans
Isha,Small seeds like alligator pepper from a
Ishu,Lice
Ishu,Multitude of people
Isio,Star
Isio,Excreta
Itẹ,Proverb directed at a specific person
Itu,Mushroom
Ivwri,Fat ; Animal/ Fish fat
Ivwri,Tailor
Ivwri,Ant
Izegede,"Unfinished building ;Un-completed, Admire ; Like"
Jẹ,Pick ; Selecting in turns
Jio,Send him/her
Jiro,Praise him
Jokpa,Except ; Unless
Jovwo,Do not proceed ; Discontinue
Jurhi,Proclaim an edit ; Make a law or regulation
"K
Kaka",Not at all
Karohọ,Remember ; Do not forget
Kẹkẹrẹkẹ,Portable ;Medium shape size
Ken,Sour
Ken,Listen
Kẹvwẹ,Give me
Ko,Sew ( with a sewing machine )
Kọ,Sow ( sow a seed )
Koka,Make a mark
Koko,Gather
Kokoroko,Very strong
Krekri,For a long time
Krẹkrẹ,Short
Krẹkrẹ,Late arrival or late departure
Kro,Bundle it up
Kru,Bundle it up
Kuakó,…. Stunted growth
Kueku,Cheap …. Pour
"KP
Kpaikpai",All and leaving nothing behind
Kpatakpata,Quickly
Kpẹ,Peel
Kpẹ,Small ; Not tall
Kpẹkpẹrẹkpẹ,For ever
Kperi,Shout
Kperi,Forceful push ; Series of
Kpo,Go home
Kpogho,Shake
Kpogho,Break down ( e.g. of a wall)
Kprẹsẹ,Dwarfish stature
Kpuhru,Short ; Describing how short
"M
Mama",Mother
Mamọ,Genuine one ; Good type
Mẹvwẹ,I am
Mẹvwẹ,Painful
Miẹmiẹ,Sweet
Miẹmiẹ,De-water ; Squeeze water from…
Mọ,….. come
Momo,Borrow
Mra,Sound
Mra,Bluffing ; Showing off
Mrẹ,See
Mrẹ,Can see
"N
Nanãna",Now
"N
Nanãna",Pass feces
Nene,Mother
"Nó Look at t
Nọ",Ask
"Nó Look at t
Nọ",Attention ; Take
"Nó Look at t
Nọ",Note ; Beware
Obọ,Hand
Obọ,Clay drinking water storage pot
Oda,Cutlass
Odjadja,Suffering ; Painful experience
Odjuvwu,Heaven
Ofe,Yam beetle
Ofia,Lie
Ofia,Strength
ógba,Fence
ógba,Oil seed
Ogbo,Boa ;Python
Ogbru,The male’s big wrapper dress cloth
Ogidi,Violence ; Rowdiness
Ogiribo,.Storm
Ojuvwu,Heaven
Okẹ,Gift
Okẹ,Friend
ókpa,A thick locally woven cloth
"ó
kpẹ",A dialect of
"ó
kpẹ",Urhobo language
Okpitẹ,The person who speaks in proverbs
Okri,Male goat
Oma,Body
Oma,Statue
Ona,Solution finding ; Craftiness ;Shortcut art ; Trick
Oni,Mother
Ora,..Sore
Orẹ,Feast
Orẹ,A Well
Orhirhi,Electric fish
Orho,Town ; City
Orhua,Deer
Orhua,Hunter
Orí,Lotion
Órí,Processed corn starch meal
Oro,Gold
Oro,Cotton thread
Osa,Debt
Osa,Rectangular woven basket for loads
Osiẹbe,Clerk ………….Rain
Osu,………….Ruler ; Governor
Ota,………….Speech
Oti,Leprosy
Otọ,Ground
Owọ,…………..Leg
gà,Sickness ; Disease
"ọ
suke",Hunch-back
"P
Patiẹn",Flat ; Deflated ; ( Evu patiẹn = Flat tummy)
Prarara,(adj) Describes the sudden and forceful
"PH
Phaphọ",Measure it
Phavwẹ,Meet me
Phẹghẹphẹghẹ,Flat ; not thick
Phihọ,Add to it
Phiọphiọ,Straight
Pho,Jump
Pho,Blow it
Phọphọ,Disgrace him/her
Phoro,Erase
Phoro,Stone it
Phiọ,Straighten it. Make it straight
"R
Ra",Go there
Rara,Crawl e.g. snails crawl
Rare,Lick; Use of
Rare,Finger or
Rare,Tongue
Re,Eat
Re,Eat food
Riẹre,Knows
Riẹre,Lure him/her
Ririe,Clean it ; Wipe up ; Wipe
Rọ,Swallow ; Swallow it
